show_id,type,title,director,country,date_added,release_year,rating,duration(min),listed_in
s8505,Movie,The Shaukeens,Abhishek Sharma,India,2018-03-01,2014,TV-MA,123,Comedies
s8505,Movie,The Shaukeens,Abhishek Sharma,India,2018-03-01,2014,TV-MA,123,International Movies
s8505,Movie,The Shaukeens,Abhishek Sharma,India,2018-03-01,2014,TV-MA,123,Music & Musicals
s8506,Movie,The Show,Giancarlo Esposito,United States,2020-06-01,2017,TV-MA,105,Dramas
s8508,Movie,The Signal,William Eubank,United States,2018-07-13,2014,PG-13,97,Sci-Fi & Fantasy
s8508,Movie,The Signal,William Eubank,United States,2018-07-13,2014,PG-13,97,Thrillers
s8508,Movie,The Signal,Will Eubank,United States,2018-07-13,2014,PG-13,97,Sci-Fi & Fantasy
s8508,Movie,The Signal,Will Eubank,United States,2018-07-13,2014,PG-13,97,Thrillers
s8509,Movie,The Similars,Isaac Ezban,Mexico,2017-01-15,2015,NR,90,Horror Movies
s8509,Movie,The Similars,Isaac Ezban,Mexico,2017-01-15,2015,NR,90,Independent Movies
s8509,Movie,The Similars,Isaac Ezban,Mexico,2017-01-15,2015,NR,90,International Movies
s8513,Movie,The Space Between Us,Peter Chelsom,United States,2019-06-01,2016,PG-13,120,Action & Adventure
s8513,Movie,The Space Between Us,Peter Chelsom,United States,2019-06-01,2016,PG-13,120,Romantic Movies
s8513,Movie,The Space Between Us,Peter Chelsom,United States,2019-06-01,2016,PG-13,120,Sci-Fi & Fantasy
s8514,Movie,The Spectacular Now,James Ponsoldt,United States,2018-07-15,2013,R,95,Dramas
s8514,Movie,The Spectacular Now,James Ponsoldt,United States,2018-07-15,2013,R,95,Independent Movies
s8514,Movie,The Spectacular Now,James Ponsoldt,United States,2018-07-15,2013,R,95,Romantic Movies
s8517,Movie,The Spy Who Fell to Earth,Thomas Meadmore,United Kingdom,2019-04-05,2019,TV-MA,94,Documentaries
s8517,Movie,The Spy Who Fell to Earth,Thomas Meadmore,United Kingdom,2019-04-05,2019,TV-MA,94,International Movies
s8518,Movie,The Stanford Prison Experiment,Kyle Patrick Alvarez,United States,2017-06-17,2015,R,122,Dramas
s8518,Movie,The Stanford Prison Experiment,Kyle Patrick Alvarez,United States,2017-06-17,2015,R,122,Independent Movies
s8518,Movie,The Stanford Prison Experiment,Kyle Patrick Alvarez,United States,2017-06-17,2015,R,122,Thrillers
s8521,Movie,The Student,Steven R. Monroe,United States,2019-03-15,2017,TV-14,90,Thrillers
s8522,Movie,The Sunshine Makers,Cosmo Feilding-Mellen,United Kingdom,2017-03-09,2015,TV-MA,91,Documentaries
s8522,Movie,The Sunshine Makers,Cosmo Feilding-Mellen,United Kingdom,2017-03-09,2015,TV-MA,91,International Movies
s8523,Movie,The Super,Stephan Rick,United States,2019-02-16,2017,R,89,Horror Movies
s8525,Movie,The Surrounding Game,Will Lockhart,United States,2018-08-30,2018,TV-14,98,Documentaries
s8525,Movie,The Surrounding Game,Cole D. Pruitt,United States,2018-08-30,2018,TV-14,98,Documentaries
s8529,Movie,The Thief and the Imbecile,Mohammed El-Tahawy,Egypt,2019-06-06,2013,TV-14,96,Dramas
s8529,Movie,The Thief and the Imbecile,Mohammed El-Tahawy,Egypt,2019-06-06,2013,TV-14,96,International Movies
s8529,Movie,The Thief and the Imbecile,Mohamed Mostafa,Egypt,2019-06-06,2013,TV-14,96,Dramas
s8529,Movie,The Thief and the Imbecile,Mohamed Mostafa,Egypt,2019-06-06,2013,TV-14,96,International Movies
s8530,Movie,The Tiger Hunter,Lena Khan,United States,2018-04-09,2016,TV-14,94,Comedies
s8530,Movie,The Tiger Hunter,Lena Khan,United States,2018-04-09,2016,TV-14,94,Dramas
s8530,Movie,The Tiger Hunter,Lena Khan,United States,2018-04-09,2016,TV-14,94,Independent Movies
s8531,Movie,The Tigers of Scotland,Leanne Gater,United Kingdom,2018-11-01,2017,TV-G,58,Documentaries
s8535,Movie,The Tribes of Palos Verdes,Brendan Malloy,United States,2019-12-01,2017,R,104,Dramas
s8535,Movie,The Tribes of Palos Verdes,Brendan Malloy,United States,2019-12-01,2017,R,104,Independent Movies
s8535,Movie,The Tribes of Palos Verdes,Brendan Malloy,United States,2019-12-01,2017,R,104,Sports Movies
s8535,Movie,The Tribes of Palos Verdes,Emmett Malloy,United States,2019-12-01,2017,R,104,Dramas
s8535,Movie,The Tribes of Palos Verdes,Emmett Malloy,United States,2019-12-01,2017,R,104,Independent Movies
s8535,Movie,The Tribes of Palos Verdes,Emmett Malloy,United States,2019-12-01,2017,R,104,Sports Movies
s8537,Movie,The Trip to Spain,Michael Winterbottom,United Kingdom,2017-12-12,2016,TV-MA,108,Comedies
s8538,Movie,The Trust,Ben Brewer,United States,2019-04-01,2015,R,91,Thrillers
s8538,Movie,The Trust,Alex Brewer,United States,2019-04-01,2015,R,91,Thrillers
s8539,Movie,The Truth About Alcohol,David Briggs,United Kingdom,2017-08-01,2016,TV-14,58,Documentaries
s8539,Movie,The Truth About Alcohol,David Briggs,United Kingdom,2017-08-01,2016,TV-14,58,International Movies
s8544,Movie,The Unborn Child,Poj Arnon,Thailand,2018-07-30,2011,TV-MA,93,Horror Movies
s8544,Movie,The Unborn Child,Poj Arnon,Thailand,2018-07-30,2011,TV-MA,93,International Movies
s8547,Movie,The Unknown Girl,Jean-Pierre Dardenne,Belgium,2017-12-12,2016,TV-MA,106,Dramas
s8547,Movie,The Unknown Girl,Jean-Pierre Dardenne,Belgium,2017-12-12,2016,TV-MA,106,International Movies
s8547,Movie,The Unknown Girl,Jean-Pierre Dardenne,France,2017-12-12,2016,TV-MA,106,Dramas
s8547,Movie,The Unknown Girl,Jean-Pierre Dardenne,France,2017-12-12,2016,TV-MA,106,International Movies
s8547,Movie,The Unknown Girl,Luc Dardenne,Belgium,2017-12-12,2016,TV-MA,106,Dramas
s8547,Movie,The Unknown Girl,Luc Dardenne,Belgium,2017-12-12,2016,TV-MA,106,International Movies
s8547,Movie,The Unknown Girl,Luc Dardenne,France,2017-12-12,2016,TV-MA,106,Dramas
s8547,Movie,The Unknown Girl,Luc Dardenne,France,2017-12-12,2016,TV-MA,106,International Movies
s8548,Movie,The Unknown Known,Errol Morris,United States,2019-02-22,2013,PG-13,103,Documentaries
s8549,Movie,The Vatican Tapes,Mark Neveldine,United States,2020-04-20,2015,PG-13,91,Horror Movies
s8549,Movie,The Vatican Tapes,Mark Neveldine,United States,2020-04-20,2015,PG-13,91,Thrillers
s8551,Movie,The Walls of the Moon,Ossama Abu El Atta,Egypt,2019-04-18,2015,TV-14,98,Action & Adventure
s8551,Movie,The Walls of the Moon,Ossama Abu El Atta,Egypt,2019-04-18,2015,TV-14,98,Dramas
s8551,Movie,The Walls of the Moon,Ossama Abu El Atta,Egypt,2019-04-18,2015,TV-14,98,International Movies
s8551,Movie,The Walls of the Moon,Tarek Al Eryan,Egypt,2019-04-18,2015,TV-14,98,Action & Adventure
s8551,Movie,The Walls of the Moon,Tarek Al Eryan,Egypt,2019-04-18,2015,TV-14,98,Dramas
s8551,Movie,The Walls of the Moon,Tarek Al Eryan,Egypt,2019-04-18,2015,TV-14,98,International Movies
s8553,Movie,The Water Diviner,Russell Crowe,Australia,2019-10-07,2014,R,111,Dramas
s8553,Movie,The Water Diviner,Russell Crowe,Australia,2019-10-07,2014,R,111,International Movies
s8553,Movie,The Water Diviner,Russell Crowe,United States,2019-10-07,2014,R,111,Dramas
s8553,Movie,The Water Diviner,Russell Crowe,United States,2019-10-07,2014,R,111,International Movies
s8557,Movie,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,Nigeria,2019-09-21,2017,TV-14,98,Comedies
s8557,Movie,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,Nigeria,2019-09-21,2017,TV-14,98,International Movies
s8557,Movie,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,Nigeria,2019-09-21,2017,TV-14,98,Romantic Movies
s8559,Movie,The Witch,Robert Eggers,United Kingdom,2018-09-17,2015,R,92,Horror Movies
s8559,Movie,The Witch,Robert Eggers,United Kingdom,2018-09-17,2015,R,92,Independent Movies
s8559,Movie,The Witch,Robert Eggers,Canada,2018-09-17,2015,R,92,Horror Movies
s8559,Movie,The Witch,Robert Eggers,Canada,2018-09-17,2015,R,92,Independent Movies
s8559,Movie,The Witch,Robert Eggers,United States,2018-09-17,2015,R,92,Horror Movies
s8559,Movie,The Witch,Robert Eggers,United States,2018-09-17,2015,R,92,Independent Movies
s8560,Movie,The Witch Files,Kyle Rankin,United States,2019-02-01,2018,TV-14,88,Horror Movies
s8560,Movie,The Witch Files,Kyle Rankin,United States,2019-02-01,2018,TV-14,88,Thrillers
s8563,Movie,The Women's Balcony,Emil Ben-Shimon,Israel,2017-12-19,2016,TV-PG,100,Comedies
s8563,Movie,The Women's Balcony,Emil Ben-Shimon,Israel,2017-12-19,2016,TV-PG,100,Dramas
s8563,Movie,The Women's Balcony,Emil Ben-Shimon,Israel,2017-12-19,2016,TV-PG,100,Faith & Spirituality
s8564,Movie,The Workshop,Laurent Cantet,France,2018-11-10,2017,TV-MA,114,Dramas
s8564,Movie,The Workshop,Laurent Cantet,France,2018-11-10,2017,TV-MA,114,International Movies
s8566,Movie,The World's Most Wanted Animal,Victoria Bromley,United Kingdom,2019-04-01,2018,TV-PG,53,Documentaries
s8567,Movie,The Wrong Babysitter,George Mendeluk,Canada,2019-06-18,2017,TV-14,89,Thrillers
s8569,Movie,The Young Offenders,Peter Foott,Ireland,2017-03-09,2016,TV-MA,83,Comedies
s8569,Movie,The Young Offenders,Peter Foott,Ireland,2017-03-09,2016,TV-MA,83,International Movies
s8571,Movie,Theater of Life,Peter Svatek,Canada,2017-07-18,2016,TV-PG,94,Documentaries
s8572,Movie,Theeram,Saheed Arafath,India,2018-07-01,2017,TV-14,104,Dramas
s8572,Movie,Theeram,Saheed Arafath,India,2018-07-01,2017,TV-14,104,International Movies
s8572,Movie,Theeram,Saheed Arafath,India,2018-07-01,2017,TV-14,104,Romantic Movies
s8574,Movie,Theo Who Lived,David Shisgall,United States,2016-12-16,2016,TV-14,86,Documentaries
s8577,Movie,This Is Not What I Expected,Derek Hui,China,2017-10-14,2017,TV-PG,107,Comedies
